year,Black,White,Latino,AAPI,Other
1980,25.6,37.5,19.900000000000002,NA,NA
1984,28.1,41.9,21.5,NA,NA
1988,29.4,36,27.6,NA,NA
1992,24,41.199999999999996,30.2,34.699999999999996,46.8
1996,33.7,33.300000000000004,19.1,43.6,NA
2000,39.900000000000006,33.6,21.9,43.8,NA
2004,41.5,42.699999999999996,28.499999999999996,35.6,35
2008,52.6,41.699999999999996,23.5,34.300000000000004,NA
2012,40.2,27.800000000000004,17.299999999999997,37.5,12.2
2016,42,41.699999999999996,24.8,26.400000000000002,100
2020,41.099999999999994,48,33.5,33.1,17.8
2024,39.2,53.900000000000006,29.299999999999997,47.4,179.8
