year,Not in Poverty - US,In Poverty - US,Not in Poverty - TX,In Poverty - TX
1984,58.699999999999996,37.2,53.400000000000006,30.099999999999998
1988,56.39999999999999,34,51.6,34.4
1992,62.7,33.5,58.599999999999994,29.9
1996,56.00000000000001,31.4,50.5,24.6
2000,58.199999999999996,31.4,52.900000000000006,27.200000000000003
2004,64.60000000000001,37.4,56.49999999999999,32.2
2008,66.10000000000001,42.199999999999996,57.4,34.300000000000004
2012,62.5,39.900000000000006,52.400000000000006,31.2
2016,63.9,39,53.7,30.8
2020,70,43.1,62.5,38.4
2024,67.5,40.300000000000004,60,28.1
