year,18-29,30-44,45-59,60+
1982,-51.1,5.7,47.099999999999994,40.6
1986,-45.2,6.1,31.7,45
1990,-49.3,6.800000000000001,22.2,45.800000000000004
1994,-55.800000000000004,1.4000000000000001,31.2,40.6
1998,-65.60000000000001,-11.3,35.099999999999994,72.39999999999999
2002,-62.4,-12.2,32.1,64
2006,-59.4,-13.3,22.400000000000002,66
2010,-57.49999999999999,-18.099999999999998,22.6,63.800000000000004
2014,-59.9,-23.400000000000002,31.900000000000002,58.8
2018,-39.300000000000004,-13.4,13.4,41.9
2022,-50.9,-15.1,19.3,44.9
