year,American Indian,Asian/Pacific Islander,Black,Hispanic/Latino,Multiracial,White
1990,-50.8,-0.3,-1.3,-29.799999999999997,3.4000000000000004,3.6999999999999997
1994,-6.9,-11.5,-12.5,-27.800000000000004,-47.099999999999994,5.8999999999999995
1998,-28.1,-23.9,6.6000000000000005,-22.900000000000002,NA,3.1
2002,-39,-23.799999999999997,12.8,-31,NA,4.6
2006,-59.099999999999994,-28.299999999999997,-3.5000000000000004,-32.1,-20.599999999999998,9.1
2010,3.4000000000000004,-23.599999999999998,18.6,-30.2,22.5,3.9
2014,-14.899999999999999,-33.5,25.6,-36.7,-19.8,8.7
2018,-30.7,-2.7,4.3999999999999995,-17.2,-0.1,5.4
2022,-36,-10.2,-9.8,-28.299999999999997,-7.9,15
1982,NA,NA,2.9000000000000004,-33.7,-7.1,1.7999999999999998
1986,NA,NA,13,-22.900000000000002,-8.5,-0
