age_cluster,is_in_poverty,YEAR,vep_in_group,voters_in_group,turnout,total_vep,total_voters,pct_of_ve_population,pct_of_electorate,vri
18-29,FALSE,1994,30034099.2835058,8459723.668289984,28.167063005401715,166151414.3345,80964863.55177622,18.076342836926102,10.448635737995254,-42.19718096599205
18-29,FALSE,1996,30088940.175544765,10924604.373513022,36.30770744923797,166585472.5235,88705243.30350462,18.062163356591707,12.315624157790237,-31.815342854289355
18-29,FALSE,1998,29257007.88838984,6436359.188678899,21.999376057977074,168352053.918,74475281.1135593,17.37846804211856,8.642275789284756,-50.2702092708098
18-29,FALSE,2000,29623853.66510133,10699866.828597402,36.11909155898405,168532512.6654,92192415.03529915,17.57753041035812,11.606016421742046,-33.97242871556728
18-29,FALSE,2002,28607519.579355225,6368387.886244831,22.261237534346083,172453814.1876,76801138.76934169,16.588510792944934,8.292048774655713,-50.01330210917844
18-29,FALSE,2004,29219518.709876575,12848765.80870536,43.97322877314304,175654284.0783,102370884.47294457,16.634674675427572,12.551191556912979,-24.548019111829323
18-29,FALSE,2006,28192301.68607691,7606683.713917212,26.98142137743177,176961365.7732,86017980.12858626,15.931331430957178,8.843132217876027,-44.49219604651261
18-29,FALSE,2008,29985049.854891,14142276.788103495,47.16442646099747,177691362.5187,105878714.0095248,16.874793141245352,13.357053795375018,-20.84611832824356
18-29,FALSE,2010,33031185.81101076,7936650.714304198,24.027749895853148,177092471.2646,80258522.78246115,18.651942442916006,9.88885720687422,-46.98215889771844
18-29,FALSE,2012,34341572.740969144,15134984.564596763,44.07190281807007,187479715.3831,113304440.7675453,18.317487132298474,13.357803508908892,-27.076222778638535
18-29,FALSE,2014,33342327.22613742,6850271.7249831045,20.54527171580603,185283024.8897,76485002.17658542,17.99534914004469,8.95635945615518,-50.22958773150573
18-29,FALSE,2016,35663027.498923026,16036137.467503333,44.9657210622054,191396744.7678,114793543.56918722,18.633037642405537,13.969546517081069,-25.02807762654425
18-29,FALSE,2018,35372865.417164154,12280925.682606544,34.71849265750297,188389284.1447,97968316.8097458,18.776474244678692,12.535609554725808,-33.237681412534435
18-29,FALSE,2020,36510795.02289313,19658635.024806846,53.84334965174112,195188683.83269998,130406293.93307385,18.705385120680074,15.074912745312664,-19.408701568799433
18-29,FALSE,2022,37202700.68036455,10411960.189543968,27.98710846021822,194992342.1462,94181927.6824724,19.079057295732653,11.055157232125408,-42.056061466946396
