pct_name,pct_id,pct_num,reg_vot,DEM,RFK,LIB,ASP,GRN,CON,REP,AUR,YES,NO,total_pres,total_rcv,prop_dem,prop_rep,prop_rfk,prop_yes,prop_no,exception
01-600 Ketchikan No. 1,01-600,1,2301,269,13,2,0,3,0,264,3,196,332,554,528,0.4855595667870036,0.47653429602888087,0.023465703971119134,0.3712121212121212,0.6287878787878788,FALSE
01-610 Ketchikan No. 2,01-610,2,2636,342,19,17,2,8,2,444,2,340,425,836,765,0.4090909090909091,0.5311004784688995,0.022727272727272728,0.4444444444444444,0.5555555555555556,FALSE
01-620 Ketchikan No. 3,01-620,3,1770,182,14,2,0,5,0,349,2,292,254,554,546,0.3285198555956679,0.6299638989169675,0.02527075812274368,0.5347985347985348,0.4652014652014652,FALSE
01-640 North Tongass No. 1,01-640,4,1116,114,5,2,0,0,0,289,2,242,160,412,402,0.2766990291262136,0.7014563106796117,0.012135922330097087,0.6019900497512438,0.39800995024875624,FALSE
01-650 North Tongass No. 2,01-650,5,1907,198,15,6,2,5,1,505,4,431,261,736,692,0.26902173913043476,0.686141304347826,0.020380434782608696,0.6228323699421965,0.37716763005780346,FALSE
01-660 Saxman,01-660,6,312,74,2,0,0,2,0,35,0,28,79,113,107,0.6548672566371682,0.30973451327433627,0.017699115044247787,0.2616822429906542,0.7383177570093458,FALSE
01-670 South Tongass,01-670,7,2004,212,17,10,0,3,0,378,1,332,272,621,604,0.3413848631239936,0.6086956521739131,0.027375201288244767,0.5496688741721855,0.4503311258278146,FALSE
01-675 Coffman Cove,01-675,8,331,21,4,1,0,0,0,80,1,75,29,107,104,0.19626168224299065,0.7476635514018691,0.037383177570093455,0.7211538461538461,0.27884615384615385,FALSE
01-680 Metlakatla,01-680,9,1032,264,24,2,0,3,2,150,1,193,225,446,418,0.5919282511210763,0.336322869955157,0.053811659192825115,0.46172248803827753,0.5382775119617225,FALSE
01-690 Wrangell,01-690,10,1968,200,12,4,1,1,2,451,1,399,252,672,651,0.2976190476190476,0.6711309523809523,0.017857142857142856,0.6129032258064516,0.3870967741935484,FALSE
02-700 Angoon,02-700,11,302,75,6,3,1,1,1,25,1,20,91,113,111,0.6637168141592921,0.22123893805309736,0.05309734513274336,0.18018018018018017,0.8198198198198198,FALSE
02-705 Craig,02-705,12,1217,119,13,2,3,1,1,248,2,215,163,389,378,0.3059125964010283,0.6375321336760925,0.033419023136246784,0.5687830687830688,0.4312169312169312,FALSE
02-720 Hoonah,02-720,13,691,108,17,2,0,1,0,129,1,88,149,258,237,0.4186046511627907,0.5,0.06589147286821706,0.37130801687763715,0.6286919831223629,FALSE
02-725 Hydaburg,02-725,14,283,71,6,1,0,3,0,16,1,26,59,98,85,0.7244897959183674,0.16326530612244897,0.061224489795918366,0.3058823529411765,0.6941176470588235,FALSE
02-730 Kake,02-730,15,353,104,5,0,0,1,1,64,3,52,122,178,174,0.5842696629213483,0.3595505617977528,0.028089887640449437,0.2988505747126437,0.7011494252873564,FALSE
02-735 Kasaan,02-735,16,60,7,2,2,0,1,0,13,0,9,14,25,23,0.28,0.52,0.08,0.391304347826087,0.6086956521739131,FALSE
02-740 Klawock,02-740,17,1329,134,6,1,1,2,1,197,1,167,146,343,313,0.39067055393586003,0.5743440233236151,0.01749271137026239,0.5335463258785943,0.46645367412140576,FALSE
02-750 Pelican-Elfin Cove,02-750,18,156,15,2,0,0,0,0,23,0,18,20,40,38,0.375,0.575,0.05,0.47368421052631576,0.5263157894736842,FALSE
02-755 Petersburg-Kupreanof,02-755,19,3031,277,22,10,7,9,7,498,2,440,360,832,800,0.3329326923076923,0.5985576923076923,0.026442307692307692,0.55,0.45,FALSE
02-760 Port Alexander,02-760,20,47,5,0,0,0,0,0,6,0,6,4,11,10,0.45454545454545453,0.5454545454545454,0,0.6,0.4,FALSE
02-765 Sitka No. 1,02-765,21,3669,436,23,10,2,9,2,467,6,411,516,955,927,0.45654450261780105,0.48900523560209425,0.024083769633507852,0.44336569579288027,0.5566343042071198,FALSE
02-770 Sitka No. 2,02-770,22,3840,456,30,9,2,11,3,386,3,302,553,900,855,0.5066666666666667,0.4288888888888889,0.03333333333333333,0.3532163742690059,0.6467836257309941,FALSE
02-775 Tenakee Springs,02-775,23,123,26,2,0,0,1,0,12,0,15,27,41,42,0.6341463414634146,0.2926829268292683,0.04878048780487805,0.35714285714285715,0.6428571428571429,FALSE
02-780 Thorne Bay,02-780,24,564,28,3,3,0,0,0,155,1,137,47,190,184,0.14736842105263157,0.8157894736842105,0.015789473684210527,0.7445652173913043,0.2554347826086957,FALSE
