pct_name,pct_id,pct_num,reg_vot,cand_name,cand_party,votes
01-600 Ketchikan No. 1,01-600,1,2301,Harris/Walz,DEM,269
01-600 Ketchikan No. 1,01-600,1,2301,Kennedy/Shanahan,RFK,13
01-600 Ketchikan No. 1,01-600,1,2301,Oliver/Maat,LIB,2
01-600 Ketchikan No. 1,01-600,1,2301,Sonski/Onak,ASP,0
01-600 Ketchikan No. 1,01-600,1,2301,Stein/Ware,GRN,3
01-600 Ketchikan No. 1,01-600,1,2301,Terry/Broden,CON,0
01-600 Ketchikan No. 1,01-600,1,2301,Trump/Vance,REP,264
01-600 Ketchikan No. 1,01-600,1,2301,West/Abdullah,AUR,3
01-600 Ketchikan No. 1,01-600,1,2301,YES,YES,196
01-600 Ketchikan No. 1,01-600,1,2301,NO,NO,332
01-610 Ketchikan No. 2,01-610,2,2636,Harris/Walz,DEM,342
01-610 Ketchikan No. 2,01-610,2,2636,Kennedy/Shanahan,RFK,19
01-610 Ketchikan No. 2,01-610,2,2636,Oliver/Maat,LIB,17
01-610 Ketchikan No. 2,01-610,2,2636,Sonski/Onak,ASP,2
01-610 Ketchikan No. 2,01-610,2,2636,Stein/Ware,GRN,8
01-610 Ketchikan No. 2,01-610,2,2636,Terry/Broden,CON,2
01-610 Ketchikan No. 2,01-610,2,2636,Trump/Vance,REP,444
01-610 Ketchikan No. 2,01-610,2,2636,West/Abdullah,AUR,2
01-610 Ketchikan No. 2,01-610,2,2636,YES,YES,340
01-610 Ketchikan No. 2,01-610,2,2636,NO,NO,425
01-620 Ketchikan No. 3,01-620,3,1770,Harris/Walz,DEM,182
01-620 Ketchikan No. 3,01-620,3,1770,Kennedy/Shanahan,RFK,14
01-620 Ketchikan No. 3,01-620,3,1770,Oliver/Maat,LIB,2
01-620 Ketchikan No. 3,01-620,3,1770,Sonski/Onak,ASP,0
01-620 Ketchikan No. 3,01-620,3,1770,Stein/Ware,GRN,5
01-620 Ketchikan No. 3,01-620,3,1770,Terry/Broden,CON,0
01-620 Ketchikan No. 3,01-620,3,1770,Trump/Vance,REP,349
01-620 Ketchikan No. 3,01-620,3,1770,West/Abdullah,AUR,2
01-620 Ketchikan No. 3,01-620,3,1770,YES,YES,292
01-620 Ketchikan No. 3,01-620,3,1770,NO,NO,254
01-640 North Tongass No. 1,01-640,4,1116,Harris/Walz,DEM,114
01-640 North Tongass No. 1,01-640,4,1116,Kennedy/Shanahan,RFK,5
01-640 North Tongass No. 1,01-640,4,1116,Oliver/Maat,LIB,2
01-640 North Tongass No. 1,01-640,4,1116,Sonski/Onak,ASP,0
01-640 North Tongass No. 1,01-640,4,1116,Stein/Ware,GRN,0
01-640 North Tongass No. 1,01-640,4,1116,Terry/Broden,CON,0
01-640 North Tongass No. 1,01-640,4,1116,Trump/Vance,REP,289
01-640 North Tongass No. 1,01-640,4,1116,West/Abdullah,AUR,2
01-640 North Tongass No. 1,01-640,4,1116,YES,YES,242
01-640 North Tongass No. 1,01-640,4,1116,NO,NO,160
01-650 North Tongass No. 2,01-650,5,1907,Harris/Walz,DEM,198
01-650 North Tongass No. 2,01-650,5,1907,Kennedy/Shanahan,RFK,15
01-650 North Tongass No. 2,01-650,5,1907,Oliver/Maat,LIB,6
01-650 North Tongass No. 2,01-650,5,1907,Sonski/Onak,ASP,2
01-650 North Tongass No. 2,01-650,5,1907,Stein/Ware,GRN,5
01-650 North Tongass No. 2,01-650,5,1907,Terry/Broden,CON,1
01-650 North Tongass No. 2,01-650,5,1907,Trump/Vance,REP,505
01-650 North Tongass No. 2,01-650,5,1907,West/Abdullah,AUR,4
01-650 North Tongass No. 2,01-650,5,1907,YES,YES,431
01-650 North Tongass No. 2,01-650,5,1907,NO,NO,261
01-660 Saxman,01-660,6,312,Harris/Walz,DEM,74
01-660 Saxman,01-660,6,312,Kennedy/Shanahan,RFK,2
01-660 Saxman,01-660,6,312,Oliver/Maat,LIB,0
01-660 Saxman,01-660,6,312,Sonski/Onak,ASP,0
01-660 Saxman,01-660,6,312,Stein/Ware,GRN,2
01-660 Saxman,01-660,6,312,Terry/Broden,CON,0
01-660 Saxman,01-660,6,312,Trump/Vance,REP,35
01-660 Saxman,01-660,6,312,West/Abdullah,AUR,0
01-660 Saxman,01-660,6,312,YES,YES,28
01-660 Saxman,01-660,6,312,NO,NO,79
01-670 South Tongass,01-670,7,2004,Harris/Walz,DEM,212
01-670 South Tongass,01-670,7,2004,Kennedy/Shanahan,RFK,17
01-670 South Tongass,01-670,7,2004,Oliver/Maat,LIB,10
01-670 South Tongass,01-670,7,2004,Sonski/Onak,ASP,0
01-670 South Tongass,01-670,7,2004,Stein/Ware,GRN,3
01-670 South Tongass,01-670,7,2004,Terry/Broden,CON,0
01-670 South Tongass,01-670,7,2004,Trump/Vance,REP,378
01-670 South Tongass,01-670,7,2004,West/Abdullah,AUR,1
01-670 South Tongass,01-670,7,2004,YES,YES,332
01-670 South Tongass,01-670,7,2004,NO,NO,272
01-675 Coffman Cove,01-675,8,331,Harris/Walz,DEM,21
01-675 Coffman Cove,01-675,8,331,Kennedy/Shanahan,RFK,4
01-675 Coffman Cove,01-675,8,331,Oliver/Maat,LIB,1
01-675 Coffman Cove,01-675,8,331,Sonski/Onak,ASP,0
01-675 Coffman Cove,01-675,8,331,Stein/Ware,GRN,0
01-675 Coffman Cove,01-675,8,331,Terry/Broden,CON,0
01-675 Coffman Cove,01-675,8,331,Trump/Vance,REP,80
01-675 Coffman Cove,01-675,8,331,West/Abdullah,AUR,1
01-675 Coffman Cove,01-675,8,331,YES,YES,75
01-675 Coffman Cove,01-675,8,331,NO,NO,29
01-680 Metlakatla,01-680,9,1032,Harris/Walz,DEM,264
01-680 Metlakatla,01-680,9,1032,Kennedy/Shanahan,RFK,24
01-680 Metlakatla,01-680,9,1032,Oliver/Maat,LIB,2
01-680 Metlakatla,01-680,9,1032,Sonski/Onak,ASP,0
01-680 Metlakatla,01-680,9,1032,Stein/Ware,GRN,3
01-680 Metlakatla,01-680,9,1032,Terry/Broden,CON,2
01-680 Metlakatla,01-680,9,1032,Trump/Vance,REP,150
01-680 Metlakatla,01-680,9,1032,West/Abdullah,AUR,1
01-680 Metlakatla,01-680,9,1032,YES,YES,193
01-680 Metlakatla,01-680,9,1032,NO,NO,225
01-690 Wrangell,01-690,10,1968,Harris/Walz,DEM,200
01-690 Wrangell,01-690,10,1968,Kennedy/Shanahan,RFK,12
01-690 Wrangell,01-690,10,1968,Oliver/Maat,LIB,4
01-690 Wrangell,01-690,10,1968,Sonski/Onak,ASP,1
01-690 Wrangell,01-690,10,1968,Stein/Ware,GRN,1
01-690 Wrangell,01-690,10,1968,Terry/Broden,CON,2
01-690 Wrangell,01-690,10,1968,Trump/Vance,REP,451
01-690 Wrangell,01-690,10,1968,West/Abdullah,AUR,1
01-690 Wrangell,01-690,10,1968,YES,YES,399
01-690 Wrangell,01-690,10,1968,NO,NO,252
02-700 Angoon,02-700,11,302,Harris/Walz,DEM,75
02-700 Angoon,02-700,11,302,Kennedy/Shanahan,RFK,6
02-700 Angoon,02-700,11,302,Oliver/Maat,LIB,3
02-700 Angoon,02-700,11,302,Sonski/Onak,ASP,1
02-700 Angoon,02-700,11,302,Stein/Ware,GRN,1
02-700 Angoon,02-700,11,302,Terry/Broden,CON,1
02-700 Angoon,02-700,11,302,Trump/Vance,REP,25
02-700 Angoon,02-700,11,302,West/Abdullah,AUR,1
02-700 Angoon,02-700,11,302,YES,YES,20
02-700 Angoon,02-700,11,302,NO,NO,91
02-705 Craig,02-705,12,1217,Harris/Walz,DEM,119
02-705 Craig,02-705,12,1217,Kennedy/Shanahan,RFK,13
02-705 Craig,02-705,12,1217,Oliver/Maat,LIB,2
02-705 Craig,02-705,12,1217,Sonski/Onak,ASP,3
02-705 Craig,02-705,12,1217,Stein/Ware,GRN,1
02-705 Craig,02-705,12,1217,Terry/Broden,CON,1
02-705 Craig,02-705,12,1217,Trump/Vance,REP,248
02-705 Craig,02-705,12,1217,West/Abdullah,AUR,2
02-705 Craig,02-705,12,1217,YES,YES,215
02-705 Craig,02-705,12,1217,NO,NO,163
02-720 Hoonah,02-720,13,691,Harris/Walz,DEM,108
02-720 Hoonah,02-720,13,691,Kennedy/Shanahan,RFK,17
02-720 Hoonah,02-720,13,691,Oliver/Maat,LIB,2
02-720 Hoonah,02-720,13,691,Sonski/Onak,ASP,0
02-720 Hoonah,02-720,13,691,Stein/Ware,GRN,1
02-720 Hoonah,02-720,13,691,Terry/Broden,CON,0
02-720 Hoonah,02-720,13,691,Trump/Vance,REP,129
02-720 Hoonah,02-720,13,691,West/Abdullah,AUR,1
02-720 Hoonah,02-720,13,691,YES,YES,88
02-720 Hoonah,02-720,13,691,NO,NO,149
02-725 Hydaburg,02-725,14,283,Harris/Walz,DEM,71
02-725 Hydaburg,02-725,14,283,Kennedy/Shanahan,RFK,6
02-725 Hydaburg,02-725,14,283,Oliver/Maat,LIB,1
02-725 Hydaburg,02-725,14,283,Sonski/Onak,ASP,0
02-725 Hydaburg,02-725,14,283,Stein/Ware,GRN,3
02-725 Hydaburg,02-725,14,283,Terry/Broden,CON,0
02-725 Hydaburg,02-725,14,283,Trump/Vance,REP,16
02-725 Hydaburg,02-725,14,283,West/Abdullah,AUR,1
02-725 Hydaburg,02-725,14,283,YES,YES,26
02-725 Hydaburg,02-725,14,283,NO,NO,59
02-730 Kake,02-730,15,353,Harris/Walz,DEM,104
02-730 Kake,02-730,15,353,Kennedy/Shanahan,RFK,5
02-730 Kake,02-730,15,353,Oliver/Maat,LIB,0
02-730 Kake,02-730,15,353,Sonski/Onak,ASP,0
02-730 Kake,02-730,15,353,Stein/Ware,GRN,1
02-730 Kake,02-730,15,353,Terry/Broden,CON,1
02-730 Kake,02-730,15,353,Trump/Vance,REP,64
02-730 Kake,02-730,15,353,West/Abdullah,AUR,3
02-730 Kake,02-730,15,353,YES,YES,52
02-730 Kake,02-730,15,353,NO,NO,122
02-735 Kasaan,02-735,16,60,Harris/Walz,DEM,7
02-735 Kasaan,02-735,16,60,Kennedy/Shanahan,RFK,2
02-735 Kasaan,02-735,16,60,Oliver/Maat,LIB,2
02-735 Kasaan,02-735,16,60,Sonski/Onak,ASP,0
02-735 Kasaan,02-735,16,60,Stein/Ware,GRN,1
02-735 Kasaan,02-735,16,60,Terry/Broden,CON,0
02-735 Kasaan,02-735,16,60,Trump/Vance,REP,13
02-735 Kasaan,02-735,16,60,West/Abdullah,AUR,0
02-735 Kasaan,02-735,16,60,YES,YES,9
02-735 Kasaan,02-735,16,60,NO,NO,14
02-740 Klawock,02-740,17,1329,Harris/Walz,DEM,134
02-740 Klawock,02-740,17,1329,Kennedy/Shanahan,RFK,6
02-740 Klawock,02-740,17,1329,Oliver/Maat,LIB,1
02-740 Klawock,02-740,17,1329,Sonski/Onak,ASP,1
02-740 Klawock,02-740,17,1329,Stein/Ware,GRN,2
02-740 Klawock,02-740,17,1329,Terry/Broden,CON,1
02-740 Klawock,02-740,17,1329,Trump/Vance,REP,197
02-740 Klawock,02-740,17,1329,West/Abdullah,AUR,1
02-740 Klawock,02-740,17,1329,YES,YES,167
02-740 Klawock,02-740,17,1329,NO,NO,146
02-750 Pelican-Elfin Cove,02-750,18,156,Harris/Walz,DEM,15
02-750 Pelican-Elfin Cove,02-750,18,156,Kennedy/Shanahan,RFK,2
02-750 Pelican-Elfin Cove,02-750,18,156,Oliver/Maat,LIB,0
02-750 Pelican-Elfin Cove,02-750,18,156,Sonski/Onak,ASP,0
02-750 Pelican-Elfin Cove,02-750,18,156,Stein/Ware,GRN,0
