Year,State,Group,Turnout
2010,Alabama,Overall,0.43
2010,Alabama,Hispanic,0.21519222847454694
2010,Alabama,Young,0.16548271534528822
2012,Alabama,Overall,0.59
2012,Alabama,Hispanic,0
2012,Alabama,Young,0.3451907467123929
2014,Alabama,Overall,0.33
2014,Alabama,Hispanic,0.05124320712372941
2014,Alabama,Young,0.13367981328265394
2016,Alabama,Overall,0.59
2016,Alabama,Hispanic,0.33065616819582977
2016,Alabama,Young,0.4392064509454508
2018,Alabama,Overall,0.47
2018,Alabama,Hispanic,0.26964946652367283
2018,Alabama,Young,0.27666928068789576
2020,Alabama,Overall,0.61
2020,Alabama,Hispanic,0.5792308120628226
2020,Alabama,Young,0.45784861809427246
2022,Alabama,Overall,0.37
2022,Alabama,Hispanic,0.2127196521776102
2022,Alabama,Young,0.16338976051445112
2010,Alaska,Overall,0.53
2010,Alaska,Hispanic,0.3582424682132429
2010,Alaska,Young,0.18530928167581343
2012,Alaska,Overall,0.59
2012,Alaska,Hispanic,0.38207104262025005
2012,Alaska,Young,0.3287748964087651
2014,Alaska,Overall,0.55
2014,Alaska,Hispanic,0.3490910464454788
2014,Alaska,Young,0.2792182265541415
2016,Alaska,Overall,0.62
2016,Alaska,Hispanic,0.7466166271783977
2016,Alaska,Young,0.41050832062553827
2018,Alaska,Overall,0.54
2018,Alaska,Hispanic,0.45788471052018587
2018,Alaska,Young,0.39777676988564525
2020,Alaska,Overall,0.68
2020,Alaska,Hispanic,0.6632342112556537
2020,Alaska,Young,0.5325506036439482
2022,Alaska,Overall,0.5
2022,Alaska,Hispanic,0.29638329127174434
2022,Alaska,Young,0.24654238282258506
2010,Arizona,Overall,0.41
2010,Arizona,Hispanic,0.3216669936376674
2010,Arizona,Young,0.22710787736089522
2012,Arizona,Overall,0.53
2012,Arizona,Hispanic,0.3833180346766357
2012,Arizona,Young,0.4071468075612879
2014,Arizona,Overall,0.34
2014,Arizona,Hispanic,0.2665331093078318
2014,Arizona,Young,0.1263458584929964
2016,Arizona,Overall,0.56
2016,Arizona,Hispanic,0.43977874643480136
2016,Arizona,Young,0.37258396283405276
2018,Arizona,Overall,0.48
2018,Arizona,Hispanic,0.39823545700703344
2018,Arizona,Young,0.28561460355885954
2020,Arizona,Overall,0.67
2020,Arizona,Hispanic,0.5660416376833791
2020,Arizona,Young,0.4849141693959334
2022,Arizona,Overall,0.49
2022,Arizona,Hispanic,0.34941367392513073
2022,Arizona,Young,0.23153475749348792
2010,Arkansas,Overall,0.38
2010,Arkansas,Hispanic,0.1918117785169447
2010,Arkansas,Young,0.1418519938770388
2012,Arkansas,Overall,0.51
2012,Arkansas,Hispanic,0.1802696070509545
2012,Arkansas,Young,0.2375507226507874
2014,Arkansas,Overall,0.4
2014,Arkansas,Hispanic,0.2643079524505608
2014,Arkansas,Young,0.15965310826578946
2016,Arkansas,Overall,0.53
2016,Arkansas,Hispanic,0.285885596150678
2016,Arkansas,Young,0.3119565797118966
2018,Arkansas,Overall,0.42
2018,Arkansas,Hispanic,0.20487053053465584
