YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,Alabama,AL,"1,424,087",,"3,970,392",0.03,"24,207","27,446","7,815","59,468","3,817,155",0.37,0.36
2022,Alaska,AK,"267,047",,"557,266",0.04,"4,639","1,639",865,"7,143","531,272",0.50,0.48
2022,Arizona,AZ,"2,592,313",,"5,802,769",0.08,"31,494","44,516","7,022","83,032","5,271,407",0.49,0.45
2022,Arkansas,AR,"914,227",,"2,353,877",0.04,"16,764","26,738","23,829","67,331","2,201,280",0.42,0.39
2022,California,CA,"11,146,610",,"30,534,379",0.15,"81,379",0,0,"81,379","26,008,091",0.43,0.37
2022,Colorado,CO,"2,540,666",,"4,639,408",0.06,"14,895",0,0,"14,895","4,367,766",0.58,0.55
2022,Connecticut,CT,"1,297,811",,"2,897,642",0.08,"9,626",0,0,"9,626","2,664,147",0.49,0.45
2022,Delaware,DE,"325,632",,"814,324",0.05,"4,754","6,100",344,"11,198","763,453",0.43,0.40
2022,District of Columbia,DC,"205,774",,"548,172",0.08,0,0,0,0,"503,167",0.41,0.38
2022,Florida,FL,"7,796,916",,"18,066,773",0.10,"75,731","116,836","3,970","196,537","16,080,925",0.48,0.43
2022,Georgia,GA,"3,964,926",,"8,442,784",0.06,"44,718","222,272","17,062","284,052","7,637,017",0.52,0.47
2022,Hawaii,HI,"423,443",,"1,141,954",0.08,"4,007",0,0,"4,007","1,054,598",0.40,0.37
2022,Idaho,ID,"595,350",,"1,486,327",0.04,"8,672","17,141","6,922","32,735","1,400,763",0.43,0.40
2022,Illinois,IL,"4,144,125",,"9,845,624",0.08,"27,477",0,0,"27,477","9,043,254",0.46,0.42
2022,Indiana,IN,"1,880,755",,"5,270,771",0.04,"24,242",0,0,"24,242","5,043,834",0.37,0.36
2022,Iowa,IA,"1,230,417",,"2,478,135",0.04,"8,366","16,098","6,411","30,875","2,358,719",0.52,0.50
2022,Kansas,KS,"1,008,998",,"2,247,751",0.05,"8,230","8,961","5,058","22,249","2,118,511",0.48,0.45
2022,Kentucky,KY,"1,502,550",,"3,510,590",0.03,"18,402","35,132","13,271","66,805","3,357,961",0.45,0.43
