state,ballots,elig_turnout,elig_pop,voting_age_pop,perc_non_cit,prison,probation,parole,felon,abbr
Alabama,"2,325,000",0.62,"3,761,001","3,917,288",0.02,"25,898","50,997","10,266","67,782",AL
Alaska,"361,400",0.68,"528,180","553,820",0.03,"4,293","2,074","1,348","6,927",AK
Arizona,"3,420,585",0.69,"4,984,557","5,574,070",0.09,"38,520","76,844","7,536","93,699",AZ
Arkansas,"1,223,675",0.57,"2,166,787","2,315,001",0.04,"17,510","36,719","24,698","64,974",AR
California,"17,785,151",0.69,"25,917,882","30,730,598",0.15,"104,730",0,"102,586","207,316",CA
Colorado,"3,295,666",0.78,"4,246,895","4,525,319",0.06,"18,905",0,0,"18,905",CO
Connecticut,"1,861,086",0.71,"2,632,351","2,871,003",0.08,"13,268",0,"4,452","17,720",CT
Delaware,"509,241",0.70,"725,994","786,622",0.06,"5,874","14,176",350,"15,013",DE
District of Columbia,"346,491",0.66,"526,607","566,909",0.07,0,0,0,0,DC
Florida,"11,144,855",0.72,"15,404,801","17,379,930",0.10,"91,674","205,033","4,345","223,139",FL
Georgia,"5,023,159",0.68,"7,364,716","8,234,938",0.07,"50,930","416,771","20,426","329,754",GA
Hawaii,"579,784",0.56,"1,041,039","1,150,905",0.09,"5,007",0,0,"5,007",HI
Idaho,"878,527",0.68,"1,298,949","1,391,199",0.04,"8,378","34,392","5,267","34,968",ID
Illinois,"6,050,000",0.66,"9,148,531","9,964,476",0.08,"38,464",0,0,"38,464",IL
Indiana,"3,068,542",0.62,"4,985,618","5,199,619",0.04,"26,302",0,0,"26,302",IN
Iowa,"1,700,130",0.73,"2,332,831","2,451,863",0.04,"9,216","29,137","6,652","33,933",IA
Kansas,"1,375,125",0.66,"2,094,282","2,229,903",0.05,"9,882","16,455","5,438","25,522",KS
Kentucky,"2,150,954",0.65,"3,319,244","3,486,455",0.03,"23,280","46,967","15,881","68,281",KY
Louisiana,"2,169,401",0.64,"3,378,891","3,562,696",0.03,"32,267","35,025","29,321","83,304",LA
Maine,"828,305",0.76,"1,093,470","1,112,819",0.02,0,0,0,0,ME
Maryland,"3,066,945",0.70,"4,388,734","4,811,635",0.08,"18,165",0,0,"18,165",MD
Massachusetts,"3,658,005",0.71,"5,151,671","5,652,754",0.09,"7,772",0,0,"7,772",MA
Michigan,"5,579,317",0.74,"7,587,900","7,910,023",0.04,"38,183",0,0,"38,183",MI
Minnesota,"3,292,997",0.80,"4,128,534","4,389,244",0.04,"9,712","100,076","7,381","79,140",MN
Mississippi,"1,325,000",0.60,"2,194,780","2,272,141",0.01,"19,244","27,294","9,866","46,032",MS
Missouri,"3,026,028",0.66,"4,586,423","4,777,750",0.02,"30,148","43,871","19,251","76,599",MO
Montana,"612,075",0.73,"840,801","855,210",0.01,"3,754",0,0,"3,754",MT
Nebraska,"966,920",0.70,"1,390,687","1,477,375",0.05,"5,263","14,894",958,"15,455",NE
Nevada,"1,407,754",0.66,"2,128,186","2,421,837",0.12,"12,399",0,0,"12,399",NV
New Hampshire,"814,499",0.75,"1,087,140","1,123,863",0.03,"2,635",0,0,"2,635",NH
New Jersey,"4,635,585",0.72,"6,442,755","7,271,361",0.11,"18,099",0,0,"18,099",NJ
New Mexico,"928,230",0.61,"1,520,916","1,639,967",0.06,"6,887","12,090","2,805","17,188",NM
New York,"8,690,139",0.61,"14,223,694","15,990,656",0.11,"42,408",0,"45,192","87,600",NY
North Carolina,"5,545,848",0.73,"7,619,132","8,180,315",0.06,"33,640","80,068","14,215","97,497",NC
North Dakota,"364,251",0.63,"574,506","594,267",0.03,"1,679",0,0,"1,679",ND
Ohio,"5,974,121",0.67,"8,911,864","9,198,716",0.03,"49,892",0,0,"49,892",OH
Oklahoma,"1,565,000",0.55,"2,829,329","3,014,541",0.04,"27,558","41,562","1,780","55,106",OK
Oregon,"2,413,890",0.76,"3,166,794","3,374,426",0.06,"13,795",0,0,"13,795",OR
Pennsylvania,"6,958,551",0.70,"9,927,102","10,336,614",0.04,"44,148",0,0,"44,148",PA
Rhode Island,"522,488",0.63,"827,594","887,378",0.06,"2,766",0,0,"2,766",RI
South Carolina,"2,533,010",0.66,"3,842,990","4,030,234",0.04,"18,587","31,975","4,980","43,392",SC
South Dakota,"427,529",0.66,"643,963","670,773",0.02,"3,867","5,989","3,201","10,781",SD
Tennessee,"3,065,000",0.60,"5,131,238","5,397,825",0.04,"26,107","61,253","10,842","74,926",TN
Texas,"11,350,000",0.61,"18,660,177","21,916,249",0.13,"154,913","368,167","109,213","492,390",TX
Utah,"1,515,845",0.69,"2,190,033","2,341,833",0.06,"6,287",0,0,"6,287",UT
Vermont,"370,968",0.72,"513,506","525,579",0.02,0,0,0,0,VT
Virginia,"4,523,142",0.73,"6,215,576","6,748,359",0.07,"35,743","63,111","1,860","76,732",VA
Washington,"4,116,894",0.76,"5,405,804","6,034,791",0.09,"18,777","76,672","12,222","78,536",WA
West Virginia,"802,726",0.57,"1,402,385","1,430,531",0.01,"6,757","6,593","4,287","15,132",WV
Wisconsin,"3,310,000",0.75,"4,395,551","4,614,661",0.03,"23,574","42,909","21,015","71,193",WI
Wyoming,"278,503",0.65,"426,246","442,682",0.02,"2,488","5,383",934,"6,759",WY
