state,total,hisp
Alabama,,
    Alabama,"5,024,279","264,047"
Alaska,,
    Alaska,"733,391","49,824"
Arizona,,
    Arizona,"7,151,502","2,192,253"
Arkansas,,
    Arkansas,"3,011,524","256,847"
California,,
    California,"39,538,223","15,579,652"
Colorado,,
    Colorado,"5,773,714","1,263,390"
Connecticut,,
    Connecticut,"3,605,944","623,293"
Delaware,,
    Delaware,"989,948","104,290"
District of Columbia,,
    District of Columbia,"689,545","77,652"
Florida,,
    Florida,"21,538,187","5,697,240"
Georgia,,
    Georgia,"10,711,908","1,123,457"
Hawaii,,
    Hawaii,"1,455,271","138,923"
Idaho,,
    Idaho,"1,839,106","239,407"
Illinois,,
    Illinois,"12,812,508","2,337,410"
Indiana,,
    Indiana,"6,785,528","554,191"
Iowa,,
    Iowa,"3,190,369","215,986"
Kansas,,
    Kansas,"2,937,880","382,603"
Kentucky,,
    Kentucky,"4,505,836","207,854"
Louisiana,,
    Louisiana,"4,657,757","322,549"
Maine,,
    Maine,"1,362,359","26,609"
Maryland,,
    Maryland,"6,177,224","729,745"
Massachusetts,,
    Massachusetts,"7,029,917","887,685"
Michigan,,
    Michigan,"10,077,331","564,422"
Minnesota,,
    Minnesota,"5,706,494","345,640"
Mississippi,,
    Mississippi,"2,961,279","105,220"
Missouri,,
    Missouri,"6,154,913","303,068"
Montana,,
    Montana,"1,084,225","45,199"
Nebraska,,
    Nebraska,"1,961,504","234,715"
Nevada,,
    Nevada,"3,104,614","890,257"
New Hampshire,,
    New Hampshire,"1,377,529","59,454"
New Jersey,,
    New Jersey,"9,288,994","2,002,575"
New Mexico,,
    New Mexico,"2,117,522","1,010,811"
New York,,
    New York,"20,201,249","3,948,032"
North Carolina,,
    North Carolina,"10,439,388","1,118,596"
North Dakota,,
    North Dakota,"779,094","33,412"
Ohio,,
    Ohio,"11,799,448","521,308"
Oklahoma,,
    Oklahoma,"3,959,353","471,931"
Oregon,,
    Oregon,"4,237,256","588,757"
Pennsylvania,,
    Pennsylvania,"13,002,700","1,049,615"
Rhode Island,,
    Rhode Island,"1,097,379","182,101"
South Carolina,,
    South Carolina,"5,118,425","352,838"
South Dakota,,
    South Dakota,"886,667","38,741"
Tennessee,,
    Tennessee,"6,910,840","479,187"
Texas,,
    Texas,"29,145,505","11,441,717"
Utah,,
    Utah,"3,271,616","492,912"
Vermont,,
    Vermont,"643,077","15,504"
Virginia,,
    Virginia,"8,631,393","908,749"
Washington,,
    Washington,"7,705,281","1,059,213"
West Virginia,,
    West Virginia,"1,793,716","34,827"
Wisconsin,,
    Wisconsin,"5,893,718","447,290"
Wyoming,,
    Wyoming,"576,851","59,046"
Puerto Rico,,
    Puerto Rico,"3,285,874","3,249,043"
